actual,purchase_pre,timestamp
374884735,168107706.21189988,2014-08-01
189092130,144458670.0135516,2014-08-02
173825397,212405249.11112815,2014-08-03
330640884,275482181.14349544,2014-08-04
394780870,265307857.47712037,2014-08-05
288821016,285551282.1599923,2014-08-06
247646474,253964953.33268508,2014-08-07
233903717,203965069.02445692,2014-08-08
160262764,212909423.80058476,2014-08-09
259534870,256270452.2497058,2014-08-10
331550471,274531764.54788476,2014-08-11
258493673,305653663.86659455,2014-08-12
261506619,300536597.9732923,2014-08-13
257702660,253726348.91626984,2014-08-14
244551620,225115652.29514587,2014-08-15
215059736,232347844.3314857,2014-08-16
149978271,247965594.2236423,2014-08-17
298499146,285813513.50326204,2014-08-18
266401973,310798552.6456641,2014-08-19
308378692,292780233.2770902,2014-08-20
251763517,258422737.8585269,2014-08-21
246316056,236386454.27664018,2014-08-22
141412027,228530206.0294879,2014-08-23
130195484,251890858.22282368,2014-08-24
309574223,289399485.31904876,2014-08-25
306945089,304140460.6498997,2014-08-26
302194801,290689288.6501332,2014-08-27
245082751,263863641.00757608,2014-08-28
267554713,235497164.66478264,2014-08-29
199708772,230962600.99164444,2014-08-30
275090213,256018701.53526407,2014-08-31
