actual,purchase_pre,timestamp
374884735,226071623.20786095,2014-08-01
189092130,209380282.6369727,2014-08-02
173825397,191525706.461823,2014-08-03
330640884,214282756.24385607,2014-08-04
394780870,210777311.37482384,2014-08-05
288821016,216618887.83132425,2014-08-06
247646474,208261865.2897104,2014-08-07
233903717,207448352.0794797,2014-08-08
160262764,194981127.20355743,2014-08-09
259534870,180765846.7400108,2014-08-10
331550471,214264681.6100413,2014-08-11
258493673,251860239.3132832,2014-08-12
261506619,204648827.64713883,2014-08-13
257702660,185057246.93929732,2014-08-14
244551620,195525473.25230438,2014-08-15
215059736,193369607.84048107,2014-08-16
149978271,167938411.4338699,2014-08-17
298499146,208552805.02465263,2014-08-18
266401973,256609477.13933185,2014-08-19
308378692,199676332.25335956,2014-08-20
251763517,182760824.36771297,2014-08-21
246316056,232276512.81162453,2014-08-22
141412027,179593748.2556175,2014-08-23
130195484,184651838.69956973,2014-08-24
309574223,182154234.8798675,2014-08-25
306945089,211907864.0601551,2014-08-26
302194801,181242727.24044776,2014-08-27
245082751,181134525.58571196,2014-08-28
267554713,180608379.93097737,2014-08-29
199708772,188136065.27624217,2014-08-30
275090213,177854328.72735086,2014-08-31
