observed,resid,seasonal,timestamp,trend
32488348,-17962217.334068477,44215721.48705868,2013-07-01,6234843.847009799
29037390,-25946274.852605965,47907194.902562745,2013-07-02,7076469.95004322
27270770,-19048737.872164592,38401411.81908795,2013-07-03,7918096.053076641
18321185,-12066982.830732903,21628445.67462284,2013-07-04,8759722.156110061
11648749,22750679.70931411,-20708819.630404864,2013-07-05,9606888.921090752
36751272,95248100.60555832,-68950884.29162976,2013-07-06,10454055.68607144
8962232,60154079.51024548,-62493069.96129761,2013-07-07,11301222.45105213
57258266,888412.3323082104,44215721.48705868,2013-07-08,12154132.18063311
26798941,-34115295.812776834,47907194.902562745,2013-07-09,13007041.91021409
30696506,-21564857.458883025,38401411.81908795,2013-07-10,13859951.63979507
44075197,7727966.278103568,21628445.67462284,2013-07-11,14718785.047273593
34183904,39315105.17565275,-20708819.630404864,2013-07-12,15577618.454752114
15164717,67679149.42939913,-68950884.29162976,2013-07-13,16436451.862230634
22615303,67807011.37438777,-62493069.96129761,2013-07-14,17301361.586909845
48128555,-14253437.798647732,44215721.48705868,2013-07-15,18166271.311589055
50622847,-16315528.938831009,47907194.902562745,2013-07-16,19031181.036268264
29015682,-29288029.26398709,38401411.81908795,2013-07-17,19902299.444899138
24234505,-18167358.528152853,21628445.67462284,2013-07-18,20773417.853530012
33680124,32744407.368243977,-20708819.630404864,2013-07-19,21644536.262160886
20439079,66867991.87674311,-68950884.29162976,2013-07-20,22521971.414886653
21142394,60236057.39368519,-62493069.96129761,2013-07-21,23399406.567612417
40448896,-28043667.207396857,44215721.48705868,2013-07-22,24276841.72033818
58136147,-14931738.334177107,47907194.902562745,2013-07-23,25160690.43161436
48422518,-16023432.961978491,38401411.81908795,2013-07-24,26044539.14289054
57433418,8876584.471210442,21628445.67462284,2013-07-25,26928387.854166716
44721817,37611912.92364842,-20708819.630404864,2013-07-26,27818723.706756443
17194451,57436275.73228359,-68950884.29162976,2013-07-27,28709059.55934617
36255382,69149056.54936172,-62493069.96129761,2013-07-28,29599395.411935892
53512076,-21199906.435998186,44215721.48705868,2013-07-29,30496260.94893951
47481243,-31819078.38850587,47907194.902562745,2013-07-30,31393126.485943124
54569637,-16121766.842034694,38401411.81908795,2013-07-31,32289992.02294674
53369962,-1451891.8862767331,21628445.67462284,2013-08-01,33193408.211653892
38064536,24676531.230043825,-20708819.630404864,2013-08-02,34096824.40036104
21595789,55546432.70256157,-68950884.29162976,2013-08-03,35000240.58906819
45745254,72328123.83857435,-62493069.96129761,2013-08-04,35910200.12272325
43632203,-37403678.14343698,44215721.48705868,2013-08-05,36820159.65637831
50866184,-34771130.09259611,47907194.902562745,2013-08-06,37730119.19003337
43908081,-33139929.878124334,38401411.81908795,2013-08-07,38646599.05903638
44493490,-16698034.602662235,21628445.67462284,2013-08-08,39563078.928039394
33425186,13654446.833362456,-20708819.630404864,2013-08-09,40479558.79704241
20615307,48163672.705114216,-68950884.29162976,2013-08-10,41402518.586515546
55519543,75687134.58530891,-62493069.96129761,2013-08-11,42325478.37598869
94520502,7056342.347479492,44215721.48705868,2013-08-12,43248438.16546183
48720919,-43364101.310278304,47907194.902562745,2013-08-13,44177825.40771556
30541167,-52967457.46905723,38401411.81908795,2013-08-14,45107212.64996928
42421222,-25243823.56684584,21628445.67462284,2013-08-15,46036599.892223
41683536,15420017.781522062,-20708819.630404864,2013-08-16,46972337.8488828
17670519,38713327.48608716,-68950884.29162976,2013-08-17,47908075.8055426
59703092,73352348.1990952,-62493069.96129761,2013-08-18,48843813.762202404
109184209,15182670.316672556,44215721.48705868,2013-08-19,49785817.19626877
53675509,-44959506.53289787,47907194.902562745,2013-08-20,50727820.63033512
38184446,-51886789.883489445,38401411.81908795,2013-08-21,51669824.06440149
89130737,14884306.15663027,21628445.67462284,2013-08-22,52617985.16874689
37878575,5021248.357312579,-20708819.630404864,2013-08-23,53566146.273092285
44367268,58803844.91419207,-68950884.29162976,2013-08-24,54514307.37743769
43306288,50330868.2158397,-62493069.96129761,2013-08-25,55468489.74545791
74496541,-26141852.6005368,44215721.48705868,2013-08-26,56422672.113478124
45268028,-60016021.38406109,47907194.902562745,2013-08-27,57376854.481498346
46602319,-50135998.50363248,38401411.81908795,2013-08-28,58336905.684544526
47518666,-33406736.562213548,21628445.67462284,2013-08-29,59296956.88759071
56488844,16940655.539767977,-20708819.630404864,2013-08-30,60257008.09063689
47655303,55383425.10379028,-68950884.29162976,2013-08-31,61222762.18783948
56239802,56544355.67625555,-62493069.96129761,2013-09-01,62188516.28504206
140844739,33474747.130696677,44215721.48705868,2013-09-02,63154270.38224465
80507880,-31524859.283045046,47907194.902562745,2013-09-03,64125544.3804823
33366708,-70131522.19780791,38401411.81908795,2013-09-04,65096818.37871995
38716505,-48980033.05158044,21628445.67462284,2013-09-05,66068092.376957595
38923186,-7412657.979225334,-20708819.630404864,2013-09-06,67044663.6096302
34076183,35005832.44932698,-68950884.29162976,2013-09-07,68021234.84230278
38796909,32292172.886322238,-62493069.96129761,2013-09-08,68997806.07497537
49312473,-64882693.771561734,44215721.48705868,2013-09-09,69979445.28450306
94684143,-24184136.39659349,47907194.902562745,2013-09-10,70961084.49403074
98944459,-11399676.522646382,38401411.81908795,2013-09-11,71942723.70355843
68573684,-25983956.321774058,21628445.67462284,2013-09-12,72929194.64715122
71655946,18449100.039660875,-20708819.630404864,2013-09-13,73915665.59074399
30975443,25024190.757292986,-68950884.29162976,2013-09-14,74902136.53433678
37059683,23659591.309451066,-62493069.96129761,2013-09-15,75893161.65184654
161656210,40556301.74358503,44215721.48705868,2013-09-16,76884186.7693563
76204815,-49577591.78942881,47907194.902562745,2013-09-17,77875211.88686606
42926608,-74345283.95141336,38401411.81908795,2013-09-18,78870480.13232541
24778048,-76716146.05240762,21628445.67462284,2013-09-19,79865748.37778477
28365762,-31786434.99283926,-20708819.630404864,2013-09-20,80861016.62324412
32406340,19497042.182847977,-68950884.29162976,2013-09-21,81860182.10878178
67514169,47147891.366978176,-62493069.96129761,2013-09-22,82859347.59431943
54658160,-73416074.56691578,44215721.48705868,2013-09-23,83858513.0798571
74250859,-58517576.205539264,47907194.902562745,2013-09-24,84861240.30297652
47274168,-76991211.34518388,38401411.81908795,2013-09-25,85863967.52609593
68718693,-39776447.42383819,21628445.67462284,2013-09-26,86866694.74921535
42166121,-24997713.295137566,-20708819.630404864,2013-09-27,87872653.92554243
39995798,20068069.189760253,-68950884.29162976,2013-09-28,88878613.10186951
34433848,7042345.683101021,-62493069.96129761,2013-09-29,89884572.27819659
28398050,-106711143.21801236,44215721.48705868,2013-09-30,90893471.7309537
19137499,-120672067.08627355,47907194.902562745,2013-10-01,91902371.18371081
11562708,-119749974.45555587,38401411.81908795,2013-10-02,92911270.63646792
10101194,-105450199.55890235,21628445.67462284,2013-10-03,93922947.88427952
19907689,-54318116.50168623,-20708819.630404864,2013-10-04,94934625.13209109
26364686,-630732.0882729143,-68950884.29162976,2013-10-05,95946302.37990268
38730653,4262857.516057216,-62493069.96129761,2013-10-06,96960865.4452404
42797733,-99393416.99763677,44215721.48705868,2013-10-07,97975428.5105781
109806912,-37090274.47847856,47907194.902562745,2013-10-08,98989991.57591581
72422299,-65987127.79326394,38401411.81908795,2013-10-09,100008014.97417599
72094613,-50559871.04705901,21628445.67462284,2013-10-10,101026038.37243617
82674757,1339514.8597085066,-20708819.630404864,2013-10-11,102044061.77069636
81901136,47785142.44394645,-68950884.29162976,2013-10-12,103066877.84768331
71149981,29553357.036627375,-62493069.96129761,2013-10-13,104089693.92467023
130315300,-19012931.48871585,44215721.48705868,2013-10-14,105112510.00165717
85704304,-68345662.4459,47907194.902562745,2013-10-15,106142771.54333724
100948091,-44626353.904105246,38401411.81908795,2013-10-16,107173033.0850173
87203217,-42628523.30132019,21628445.67462284,2013-10-17,108203294.62669735
98151450,9614441.420126144,-20708819.630404864,2013-10-18,109245828.21027872
53148443,11810965.497769684,-68950884.29162976,2013-10-19,110288361.79386008
47766681,-1071144.416143842,-62493069.96129761,2013-10-20,111330895.37744145
106030290,-50579174.78899514,44215721.48705868,2013-10-21,112393743.30193646
145611496,-15752290.128994204,47907194.902562745,2013-10-22,113456591.22643146
106093112,-46827738.97001442,38401411.81908795,2013-10-23,114519439.15092647
69530830,-67711626.90219915,21628445.67462284,2013-10-24,115614011.22757632
69936453,-26063310.673821267,-20708819.630404864,2013-10-25,116708583.30422613
55752506,6900234.910753787,-68950884.29162976,2013-10-26,117803155.38087597
68007543,11431746.59293107,-62493069.96129761,2013-10-27,119068866.36836654
129993375,-34556923.84291575,44215721.48705868,2013-10-28,120334577.35585707
102050144,-67457339.24591038,47907194.902562745,2013-10-29,121600288.34334762
109663260,-51704435.248513296,38401411.81908795,2013-10-30,122966283.42942534
90926701,-55034023.19012589,21628445.67462284,2013-10-31,124332278.51550305
150904945,45915491.02882409,-20708819.630404864,2013-11-01,125698273.60158077
62132300,3983674.102818191,-68950884.29162976,2013-11-02,127099510.18881157
68707870,2700193.185255237,-62493069.96129761,2013-11-03,128500746.77604237
300027403,125909698.14966819,44215721.48705868,2013-11-04,129901983.36327316
180904814,1658003.3556613103,47907194.902562745,2013-11-05,131339615.74177594
181474910,10296250.060633332,38401411.81908795,2013-11-06,132777248.12027872
167963464,12120137.826595671,21628445.67462284,2013-11-07,134214880.49878149
231749471,116768593.8693479,-20708819.630404864,2013-11-08,135689696.76105696
126467028,58253399.268297374,-68950884.29162976,2013-11-09,137164513.0233324
164813471,88667211.67568976,-62493069.96129761,2013-11-10,138639329.28560784
147986439,-36380733.510787345,44215721.48705868,2013-11-11,140151451.02372867
148469647,-41101120.66441221,47907194.902562745,2013-11-12,141663572.76184946
174554976,-7022130.31905821,38401411.81908795,2013-11-13,143175694.49997026
167996058,1643728.269032292,21628445.67462284,2013-11-14,144723884.05634487
124270704,-1292549.982314553,-20708819.630404864,2013-11-15,146272073.61271942
118085705,39216326.122535735,-68950884.29162976,2013-11-16,147820263.16909403
111786622,24877112.505735107,-62493069.96129761,2013-11-17,149402579.4555625
195766477,565859.770910345,44215721.48705868,2013-11-18,150984895.74203098
131365419,-69108987.93106219,47907194.902562745,2013-11-19,152567212.02849945
166163002,-26418716.509135753,38401411.81908795,2013-11-20,154180306.6900478
221166938,43745090.97378104,21628445.67462284,2013-11-21,155793401.35159612
128528687,-8168989.3827396,-20708819.630404864,2013-11-22,157406496.01314446
89109018,-985882.677313298,-68950884.29162976,2013-11-23,159045784.96894306
102394991,4202987.036555983,-62493069.96129761,2013-11-24,160685073.92474163
147143602,-59396482.3675989,44215721.48705868,2013-11-25,162324362.88054022
258037702,46146832.34318086,47907194.902562745,2013-11-26,163983674.7542564
134774128,-69270270.4470605,38401411.81908795,2013-11-27,165642986.62797254
139760425,-49170319.17631153,21628445.67462284,2013-11-28,167302298.5016887
122536344,-25727476.31575915,-20708819.630404864,2013-11-29,168972639.946164
116865492,15173394.900990427,-68950884.29162976,2013-11-30,170642981.39063933
137889992,28069739.12618295,-62493069.96129761,2013-12-01,172313322.83511466
345313258,127114223.20196581,44215721.48705868,2013-12-02,173983313.31097552
268666856,45106357.31060087,47907194.902562745,2013-12-03,175653303.7868364
219456372,3731665.918214828,38401411.81908795,2013-12-04,177323294.26269722
190825287,-9783423.933384694,21628445.67462284,2013-12-05,178980265.25876185
152197159,-7731257.624421593,-20708819.630404864,2013-12-06,180637236.25482646
138882605,25539282.0407387,-68950884.29162976,2013-12-07,182294207.25089106
124886903,3452378.0769448653,-62493069.96129761,2013-12-08,183927594.88435274
174652812,-55123892.004873104,44215721.48705868,2013-12-09,185560982.51781443
179471612,-55629953.05383886,47907194.902562745,2013-12-10,187194370.1512761
239916977,12720954.972977877,38401411.81908795,2013-12-11,188794610.20793417
140360007,-71663288.93921506,21628445.67462284,2013-12-12,190394850.26459223
164672690,-6613580.690845396,-20708819.630404864,2013-12-13,191995090.32125026
129045596,4442161.164579123,-68950884.29162976,2013-12-14,193554319.12705064
205882387,73261909.02844658,-62493069.96129761,2013-12-15,195113547.93285102
196489931,-44398567.22571007,44215721.48705868,2013-12-16,196672776.7386514
193980797,-52112085.84890009,47907194.902562745,2013-12-17,198185687.94633734
180215804,-57884206.97311121,38401411.81908795,2013-12-18,199698599.15402326
233631357,10791400.963667981,21628445.67462284,2013-12-19,201211510.36170918
133867400,-48098301.63603324,-20708819.630404864,2013-12-20,202674521.2664381
112000779,-23185868.879537255,-68950884.29162976,2013-12-21,204137532.17116702
154543217,11435743.885401674,-62493069.96129761,2013-12-22,205600543.07589594
198747367,-52481697.814570464,44215721.48705868,2013-12-23,207013343.3275118
305406334,49072995.518309645,47907194.902562745,2013-12-24,208426143.5791276
380076148,131835792.35016862,38401411.81908795,2013-12-25,209838943.83074343
220287409,-12542465.134991325,21628445.67462284,2013-12-26,211201428.46036848
211118967,19263873.540411357,-20708819.630404864,2013-12-27,212563913.0899935
192808006,47832492.5720112,-68950884.29162976,2013-12-28,213926397.71961856
161473347,8727692.32141707,-62493069.96129761,2013-12-29,215238724.63988054
286358778,25592004.952798806,44215721.48705868,2013-12-30,216551051.56014252
265851934,81360.6170327887,47907194.902562745,2013-12-31,217863378.48040447
330926565,73399064.06462067,38401411.81908795,2014-01-01,219126089.11629137
434956739,192939493.5731989,21628445.67462284,2014-01-02,220388799.75217825
342074805,141132114.24233976,-20708819.630404864,2014-01-03,221651510.3880651
186085910,32171285.61994502,-68950884.29162976,2014-01-04,222865508.67168474
206030707,44444270.005993284,-62493069.96129761,2014-01-05,224079506.95530432
442494042,172984815.27401742,44215721.48705868,2014-01-06,225293505.2389239
589726496,315360156.7354977,47907194.902562745,2014-01-07,226459144.36193958
264025160,-2001035.3040431738,38401411.81908795,2014-01-08,227624783.48495522
280698487,30279618.717406295,21628445.67462284,2014-01-09,228790422.60797086
237797636,28597160.94152451,-20708819.630404864,2014-01-10,229909294.68888035
243403438,81326155.52183995,-68950884.29162976,2014-01-11,231028166.76978981
228255344,58601375.11059836,-62493069.96129761,2014-01-12,232147038.85069925
447207050,169768450.6461272,44215721.48705868,2014-01-13,233222877.86681414
356907128,74701216.21450824,47907194.902562745,2014-01-14,234298716.88292903
391408718,117632750.28186816,38401411.81908795,2014-01-15,235374555.8990439
374947083,116907939.06373328,21628445.67462284,2014-01-16,236410698.2616439
345426853,128688832.00616097,-20708819.630404864,2014-01-17,237446840.6242439
233200688,63668589.30478588,-68950884.29162976,2014-01-18,238482982.98684388
185082022,8093268.520773388,-62493069.96129761,2014-01-19,239481823.44052422
335761027,51064641.618736796,44215721.48705868,2014-01-20,240480663.89420453
412854611,123467911.7495524,47907194.902562745,2014-01-21,241479504.34788486
498730606,217886875.6535754,38401411.81908795,2014-01-22,242442318.52733666
481450097,216416518.6185887,21628445.67462284,2014-01-23,243405132.70678848
614103894,390444766.74416465,-20708819.630404864,2014-01-24,244367946.88624027
440854623,264509212.09209183,-68950884.29162976,2014-01-25,245296295.19953793
528402520,344670946.4484621,-62493069.96129761,2014-01-26,246224643.51283553
657199484,365830770.68680817,44215721.48705868,2014-01-27,247152991.82613316
843424742,547468757.9170481,47907194.902562745,2014-01-28,248048789.1803891
952479658,665133659.6462669,38401411.81908795,2014-01-29,248944586.53464502
227916211,-43552618.56352378,21628445.67462284,2014-01-30,249840383.88890094
87324175,-142671916.20095316,-20708819.630404864,2014-01-31,250704910.83135802
64287172,-118331381.48218527,-68950884.29162976,2014-02-01,251569437.77381504
57912761,-132028133.75497445,-62493069.96129761,2014-02-02,252433964.71627206
84329848,-213154155.1784635,44215721.48705868,2014-02-03,253268281.69140482
83653646,-218356147.5691003,47907194.902562745,2014-02-04,254102598.66653755
209043990,-84294337.46075827,38401411.81908795,2014-02-05,254936915.64167032
227860276,-49509330.3474179,21628445.67462284,2014-02-06,255741160.67279506
578818221,342981634.92648506,-20708819.630404864,2014-02-07,256545405.70391983
358255468,169856701.5565852,-68950884.29162976,2014-02-08,257349650.73504457
341911234,146279977.44962487,-62493069.96129761,2014-02-09,258124326.51167274
647465140,344350416.2246404,44215721.48705868,2014-02-10,258899002.2883009
818803205,511222332.03250825,47907194.902562745,2014-02-11,259673678.06492907
763009770,464187995.667235,38401411.81908795,2014-02-12,260420362.513677
626698794,343903301.3629523,21628445.67462284,2014-02-13,261167046.9624249
490710434,249505522.21923202,-20708819.630404864,2014-02-14,261913731.41117284
255393179,61708609.667478114,-68950884.29162976,2014-02-15,262635453.62415165
331324628,130460522.12416717,-62493069.96129761,2014-02-16,263357175.83713043
706118060,397823440.46283203,44215721.48705868,2014-02-17,264078898.05010924
593563145,280877514.37707376,47907194.902562745,2014-02-18,264778435.7203635
408367966,104488580.79029432,38401411.81908795,2014-02-19,265477973.39061773
478925191,191119234.26450518,21628445.67462284,2014-02-20,266177511.060872
353981687,107833663.24719843,-20708819.630404864,2014-02-21,266856843.38320643
282022706,83437414.58608893,-68950884.29162976,2014-02-22,267536175.70554084
337053711,131331272.93342233,-62493069.96129761,2014-02-23,268215508.02787527
656317045,343225690.13121843,44215721.48705868,2014-02-24,268875633.38172287
563505889,246062935.36186683,47907194.902562745,2014-02-25,269535758.73557043
680801145,372203849.0914941,38401411.81908795,2014-02-26,270195884.089418
672909288,380445573.6781023,21628445.67462284,2014-02-27,270835268.64727485
428721754,177955920.4252732,-20708819.630404864,2014-02-28,271474653.20513165
362865580,159702426.52864125,-68950884.29162976,2014-03-01,272114037.7629885
276202230,65966519.194524504,-62493069.96129761,2014-03-02,272728780.7667731
505305862,187746616.74238375,44215721.48705868,2014-03-03,273343523.7705576
524146340,202280878.32309514,47907194.902562745,2014-03-04,273958266.7743421
454295491,141351118.39167383,38401411.81908795,2014-03-05,274542960.7892382
561787770,265031669.52124298,21628445.67462284,2014-03-06,275127654.8041342
380139779,125136249.81137463,-20708819.630404864,2014-03-07,275712348.8190302
243274169,35962427.02570906,-68950884.29162976,2014-03-08,276262626.2659207
244752519,30432685.248486497,-62493069.96129761,2014-03-09,276812903.7128111
497338076,175759173.35323974,44215721.48705868,2014-03-10,277363181.1597016
430500816,104718418.6984433,47907194.902562745,2014-03-11,277875202.39899397
377007897,60219261.542625636,38401411.81908795,2014-03-12,278387223.6382864
346286910,45759219.447798364,21628445.67462284,2014-03-13,278899244.8775788
315897431,57237641.52957621,-20708819.630404864,2014-03-14,279368609.10082865
287407002,76519912.96755132,-68950884.29162976,2014-03-15,279837973.32407844
269387391,51573123.413969316,-62493069.96129761,2014-03-16,280307337.5473283
339008082,14063395.941211663,44215721.48705868,2014-03-17,280728964.57172966
435479117,106421330.5013063,47907194.902562745,2014-03-18,281150591.59613097
359014064,39040433.560379714,38401411.81908795,2014-03-19,281572218.62053233
365011495,61442582.060818724,21628445.67462284,2014-03-20,281940467.26455843
282351818,20751921.72182027,-20708819.630404864,2014-03-21,282308715.9085846
191700135,-22025945.260980934,-68950884.29162976,2014-03-22,282676964.5526107
167456369,-53037176.6112363,-62493069.96129761,2014-03-23,282986615.5725339
313180334,-14331654.079515733,44215721.48705868,2014-03-24,283296266.59245706
314345006,-17168106.51494301,47907194.902562745,2014-03-25,283605917.61238027
272935544,-49317492.76390061,38401411.81908795,2014-03-26,283851624.94481266
266231082,-39494695.951867886,21628445.67462284,2014-03-27,284097332.27724504
225966355,-37667864.979272634,-20708819.630404864,2014-03-28,284343039.6096775
160250985,-55318098.39303717,-68950884.29162976,2014-03-29,284519967.68466693
205533934,-16669891.79835876,-62493069.96129761,2014-03-30,284696895.75965637
398884905,69795359.67829552,44215721.48705868,2014-03-31,284873823.8346458
453320585,120435346.21266681,47907194.902562745,2014-04-01,284978043.88477045
355347118,31863442.24601695,38401411.81908795,2014-04-02,285082263.9348951
363877120,57062190.340357415,21628445.67462284,2014-04-03,285186483.98501974
251895894,-12435461.414748337,-20708819.630404864,2014-04-04,285040175.0451532
202336542,-13606439.813656837,-68950884.29162976,2014-04-05,284893866.1052866
129477254,-92777233.20412245,-62493069.96129761,2014-04-06,284747557.16542006
196936223,-131758851.99373671,44215721.48705868,2014-04-07,284479353.50667804
354770149,22651804.24950122,47907194.902562745,2014-04-08,284211149.84793603
383347565,61003206.99171808,38401411.81908795,2014-04-09,283942946.18919396
386567460,81287322.96254992,21628445.67462284,2014-04-10,283651691.36282724
237829882,-24821734.906055596,-20708819.630404864,2014-04-11,283360436.53646046
177642053,-36476244.418463916,-68950884.29162976,2014-04-12,283069181.7100937
208172985,-12091888.619559847,-62493069.96129761,2014-04-13,282757943.58085746
309853269,-16809157.93867991,44215721.48705868,2014-04-14,282446705.45162123
428681231,98638568.77505225,47907194.902562745,2014-04-15,282135467.322385
387847838,67639240.73644593,38401411.81908795,2014-04-16,281807185.4444661
355792647,52685297.75883,21628445.67462284,2014-04-17,281478903.56654716
239300383,-21141419.058223393,-20708819.630404864,2014-04-18,281150621.68862826
268729366,56872625.11204633,-68950884.29162976,2014-04-19,280807625.17958343
191259529,-26712029.709240995,-62493069.96129761,2014-04-20,280464628.6705386
301134667,-23202686.648552455,44215721.48705868,2014-04-21,280121632.1614938
285248757,-42424220.30225862,47907194.902562745,2014-04-22,279765782.3996959
313677307,-4134037.456985861,38401411.81908795,2014-04-23,279409932.6378979
318358891,17676362.449277215,21628445.67462284,2014-04-24,279054082.87609994
220927432,-37050667.29455474,-20708819.630404864,2014-04-25,278686918.9249596
151625415,-57743455.682189494,-68950884.29162976,2014-04-26,278319754.97381926
146837951,-68621570.06138125,-62493069.96129761,2014-04-27,277952591.02267885
324937272,3146137.1891351566,44215721.48705868,2014-04-28,277575413.32380617
330607104,5501673.472503893,47907194.902562745,2014-04-29,277198235.62493336
260091330,-55131139.74514857,38401411.81908795,2014-04-30,276821057.9260606
193045106,-105018360.31729633,21628445.67462284,2014-05-01,276435020.6426735
125336258,-130003905.72888139,-20708819.630404864,2014-05-02,276048983.35928625
185094488,-21617573.784269303,-68950884.29162976,2014-05-03,275662946.07589906
303087562,90311554.98029181,-62493069.96129761,2014-05-04,275269076.9810058
370924149,51833219.62682887,44215721.48705868,2014-05-05,274875207.88611245
318002728,-4385805.69378192,47907194.902562745,2014-05-06,274481338.7912192
417327518,104845548.27593365,38401411.81908795,2014-05-07,274080557.9049784
392838756,97530533.30663955,21628445.67462284,2014-05-08,273679777.0187376
281479009,28908832.49790803,-20708819.630404864,2014-05-09,273278996.13249683
287240171,83319053.60343143,-68950884.29162976,2014-05-10,272872001.6881983
182424063,-27547874.282602154,-62493069.96129761,2014-05-11,272465007.24389976
325108597,8834862.713340126,44215721.48705868,2014-05-12,272058012.7996012
275241493,-44311069.86568446,47907194.902562745,2014-05-13,271645367.9631217
305474522,-4159612.94573012,38401411.81908795,2014-05-14,271232723.12664217
313367089,20918565.035214476,21628445.67462284,2014-05-15,270820078.2901627
231967423,-17726026.09814724,-20708819.630404864,2014-05-16,270402268.7285521
170983868,-30049706.875311702,-68950884.29162976,2014-05-17,269984459.16694146
164419642,-42653937.644033276,-62493069.96129761,2014-05-18,269566649.6053309
259077930,-54281903.8361967,44215721.48705868,2014-05-19,269144112.349138
453955303,137326533.00449216,47907194.902562745,2014-05-20,268721575.0929451
297799722,-8900727.655840099,38401411.81908795,2014-05-21,268299037.83675215
344636549,55135898.89107107,21628445.67462284,2014-05-22,267872204.4343061
249546195,2809643.5985448696,-20708819.630404864,2014-05-23,267445371.03186
160073254,-37994399.33778417,-68950884.29162976,2014-05-24,267018537.62941393
166943526,-37151171.3515301,-62493069.96129761,2014-05-25,266587767.3128277
344890868,34518149.51669987,44215721.48705868,2014-05-26,266156996.99624145
299049555,-14583866.582217969,47907194.902562745,2014-05-27,265726226.67965522
276134813,-27558455.084562182,38401411.81908795,2014-05-28,265291856.26547423
320549863,34063931.47408395,21628445.67462284,2014-05-29,264857485.8512932
226547701,-17166594.80670738,-20708819.630404864,2014-05-30,264423115.43711224
146823669,-48210868.98528227,-68950884.29162976,2014-05-31,263985422.27691203
183489775,-17564884.155414246,-62493069.96129761,2014-06-01,263547729.11671185
158219402,-149106355.44357032,44215721.48705868,2014-06-02,263110035.95651165
270887462,-39689027.814642675,47907194.902562745,2014-06-03,262669294.91207993
274460744,-26169221.686736137,38401411.81908795,2014-06-04,262228553.86764818
380042567,96626308.50216073,21628445.67462284,2014-06-05,261787812.82321644
301413900,60778408.86264482,-20708819.630404864,2014-06-06,261344310.76776004
187801995,-4147929.4206738174,-68950884.29162976,2014-06-07,260900808.71230358
302171269,104207032.30445048,-62493069.96129761,2014-06-08,260457306.65684712
366114374,61887384.357951604,44215721.48705868,2014-06-09,260011268.15498972
354031597,46559172.444304936,47907194.902562745,2014-06-10,259565229.65313232
327661453,30140850.029637128,38401411.81908795,2014-06-11,259119191.15127492
332365185,52065977.041629486,21628445.67462284,2014-06-12,258670762.28374767
216923770,-20589743.785815503,-20708819.630404864,2014-06-13,258222333.41622037
181574530,-7248490.257063329,-68950884.29162976,2014-06-14,257773904.5486931
166080126,-28749956.189460926,-62493069.96129761,2014-06-15,257323152.15075853
387308484,86220362.76011738,44215721.48705868,2014-06-16,256872399.75282395
270350693,-33978149.25745211,47907194.902562745,2014-06-17,256421647.35488936
335262709,40892652.656731695,38401411.81908795,2014-06-18,255968644.52418035
338609087,61464999.63190585,21628445.67462284,2014-06-19,255515641.6934713
251582530,17228710.76764259,-20708819.630404864,2014-06-20,255062638.86276227
177999186,-7657339.652221918,-68950884.29162976,2014-06-21,254607409.94385168
147180819,-44478292.06364348,-62493069.96129761,2014-06-22,254152181.0249411
232227670,-65685003.59308914,44215721.48705868,2014-06-23,253696952.10603046
245450766,-55695944.26245604,47907194.902562745,2014-06-24,253239515.3598933
264663201,-26520289.432844013,38401411.81908795,2014-06-25,252782078.61375606
297628039,23674951.4577583,21628445.67462284,2014-06-26,252324641.86761886
264282703,33126477.829447035,-20708819.630404864,2014-06-27,251865044.80095783
153826161,-28628402.442666978,-68950884.29162976,2014-06-28,251405447.73429674
158801540,-29651240.70633807,-62493069.96129761,2014-06-29,250945850.66763568
334054112,39354256.596724354,44215721.48705868,2014-06-30,250484133.91621697
384428753,86499140.932639,47907194.902562745,2014-07-01,250022417.16479826
384555819,96593706.76753253,38401411.81908795,2014-07-02,249560700.41337952
297894643,27169301.72031223,21628445.67462284,2014-07-03,249096895.60506493
211649838,-16274433.166345444,-20708819.630404864,2014-07-04,248633090.7967503
169383796,-9834605.696805924,-68950884.29162976,2014-07-05,248169285.9884357
199569025,14358729.47874374,-62493069.96129761,2014-07-06,247703365.48255387
272182847,-19270319.46373067,44215721.48705868,2014-07-07,247237444.976672
224240103,-70438616.37335292,47907194.902562745,2014-07-08,246771524.47079018
278005555,-6699344.506677538,38401411.81908795,2014-07-09,246303487.6875896
283095921,15632024.420988195,21628445.67462284,2014-07-10,245835450.90438896
208671021,-15987573.490783479,-20708819.630404864,2014-07-11,245367414.12118834
177644343,1697966.3796368241,-68950884.29162976,2014-07-12,244897260.91199294
179759885,-2174152.7414998934,-62493069.96129761,2014-07-13,244427107.7027975
254797524,-33375151.980660774,44215721.48705868,2014-07-14,243956954.4936021
334810012,43418108.09661191,47907194.902562745,2014-07-15,243484709.00082535
