report_date,purchase,redeem
20140901,247632472.23534864,302908165.8978375
20140902,247315199.27712014,304033658.24073887
20140903,247001492.07690632,304590735.92100924
20140904,246684234.72380304,305150074.69817597
20140905,246368289.22262147,305708207.7640864
20140906,246055055.40565148,306265379.5231369
20140907,245738368.08289072,306824819.1960011
20140908,245423605.3458733,307382791.97185916
20140909,245110773.176981,307940164.81215155
20140910,244794660.03204083,308499711.5814932
20140911,244481250.2066974,309057549.9778436
20140912,245540777.16825482,309615252.2582401
20140913,245240350.44242054,310700232.3352566
20140914,244951487.72556403,311265009.337191
20140915,244662093.1515872,311833324.3528574
20140916,244369730.29114935,312403628.5346987
20140917,244085103.03506786,312971786.9654077
20140918,243798318.01473013,313542545.02585226
20140919,243509012.38282996,314114987.1690787
20140920,243223931.80609718,314685288.9068424
20140921,242935293.3179161,315256996.8472549
20140922,242644765.9863443,315830037.1590516
20140923,242358909.38910732,316401020.53115755
20140924,242068181.46533653,316973675.73829406
20140925,241776150.30519658,317547177.3691903
20140926,241489123.34056172,318118713.0024569
20140927,241196120.87130648,318692205.9242211
20140928,240902308.59160146,319265990.2032448
20140929,240613672.28404114,319837937.2605219
20140930,240318284.07159716,320412096.77630365
