actual,purchase_pre,timestamp
374884735,234521280.71050498,2014-08-01
189092130,175747342.97099268,2014-08-02
173825397,178070998.2581821,2014-08-03
330640884,304801619.3361217,2014-08-04
394780870,327848156.1880665,2014-08-05
288821016,276008885.24217445,2014-08-06
247646474,262996056.01958779,2014-08-07
233903717,208599706.0627698,2014-08-08
160262764,150890442.77994573,2014-08-09
259534870,157545459.68638545,2014-08-10
331550471,273768173.79332024,2014-08-11
258493673,248456663.3768422,2014-08-12
261506619,232806534.7443573,2014-08-13
257702660,230490855.83771843,2014-08-14
244551620,200196792.52773342,2014-08-15
215059736,153160820.3018822,2014-08-16
149978271,192261609.25423402,2014-08-17
298499146,277537849.40894604,2014-08-18
266401973,281235698.0200088,2014-08-19
308378692,295916548.6061158,2014-08-20
251763517,283255383.4372489,2014-08-21
246316056,223825915.77513066,2014-08-22
141412027,189430645.45359248,2014-08-23
130195484,172783570.7692352,2014-08-24
309574223,274841166.0299634,2014-08-25
306945089,282792956.4683908,2014-08-26
302194801,307217593.1327596,2014-08-27
245082751,243827662.02345663,2014-08-28
267554713,172770133.7835784,2014-08-29
199708772,126810626.74715672,2014-08-30
275090213,125882705.14854068,2014-08-31
