ds,y,y_log
2013-07-01,32488348,17.2963920599383
2013-07-02,29037390,17.1840948678487
2013-07-03,27270770,17.1213259905801
2013-07-04,18321185,16.7235685985245
2013-07-05,11648749,16.2707093502359
2013-07-06,36751272,17.419683395269
2013-07-07,8962232,16.0085298610719
2013-07-08,57258266,17.8630825742557
2013-07-09,26798941,17.103872929775
2013-07-10,30696506,17.2396593950055
2013-07-11,44075197,17.6014077558922
2013-07-12,34183904,17.3472654479707
2013-07-13,15164717,16.5344820375393
2013-07-14,22615303,16.9341373589914
2013-07-15,48128555,17.6893862179738
2013-07-16,50622847,17.7399135540916
2013-07-17,29015682,17.1833470004142
2013-07-18,24234505,17.0032880020479
2013-07-19,33680124,17.3324184290418
2013-07-20,20439079,16.8329592635762
2013-07-21,21142394,16.8667907770277
2013-07-22,40448896,17.5155499081421
2013-07-23,58136147,17.8782981798291
2013-07-24,48422518,17.6954755114265
2013-07-25,57433418,17.8661368870019
2013-07-26,44721817,17.6159720165761
2013-07-27,17194451,16.6600972734528
2013-07-28,36255382,17.40609839721
2013-07-29,53512076,17.7954179060216
2013-07-30,47481243,17.675845306807
2013-07-31,54569637,17.8149881871337
2013-08-01,53369962,17.7927586362994
2013-08-02,38064536,17.4547935929726
2013-08-03,21595789,16.8880088999447
2013-08-04,45745254,17.6385986065998
2013-08-05,43632203,17.5913060366053
2013-08-06,50866184,17.7447088992417
2013-08-07,43908081,17.597608938554
2013-08-08,44493490,17.6108534442999
2013-08-09,33425186,17.3248202456339
2013-08-10,20615307,16.8415444160811
2013-08-11,55519543,17.8322456428609
2013-08-12,94520502,18.3643273213142
2013-08-13,48720919,17.701619044078
2013-08-14,30541167,17.2345860692054
2013-08-15,42421222,17.5631593138523
2013-08-16,41683536,17.5456167886632
2013-08-17,17670519,16.6874082156812
2013-08-18,59703092,17.9048943693165
2013-08-19,109184209,18.5085470045915
2013-08-20,53675509,17.7984673846837
2013-08-21,38184446,17.4579388178846
2013-08-22,89130737,18.3056148048935
2013-08-23,37878575,17.4498962067783
2013-08-24,44367268,17.6080125483244
2013-08-25,43306288,17.5838084018289
2013-08-26,74496541,18.1262632527417
2013-08-27,45268028,17.6281115576063
2013-08-28,46602319,17.6571608618062
2013-08-29,47518666,17.6766331602341
2013-08-30,56488844,17.8495537252932
2013-08-31,47655303,17.6795044725332
2013-09-01,56239802,17.8451352848346
2013-09-02,140844739,18.7631686997964
2013-09-03,80507880,18.2038656257968
2013-09-04,33366708,17.3230691943778
2013-09-05,38716505,17.4717765528689
2013-09-06,38923186,17.4771006721578
2013-09-07,34076183,17.3441092524791
2013-09-08,38796909,17.4738511364716
2013-09-09,49312473,17.7136876090417
2013-09-10,94684143,18.3660570995741
2013-09-11,98944459,18.4100692304661
2013-09-12,68573684,18.0434194039366
2013-09-13,71655946,18.0873866955364
2013-09-14,30975443,17.2487052872335
2013-09-15,37059683,17.4280402250882
2013-09-16,161656210,18.9009824777294
2013-09-17,76204815,18.1489352076369
2013-09-18,42926608,17.5750024247334
2013-09-19,24778048,17.0254686578583
2013-09-20,28365762,17.160693412475
2013-09-21,32406340,17.2938646406323
2013-09-22,67514169,18.0278480449256
2013-09-23,54658160,17.8166090752558
2013-09-24,74250859,18.1229599046037
2013-09-25,47274168,17.6714745732
2013-09-26,68718693,18.045531816251
2013-09-27,42166121,17.5571276366685
2013-09-28,39995798,17.5042849565601
2013-09-29,34433848,17.3545505920671
2013-09-30,28398050,17.1618310388023
2013-10-01,19137499,16.7671602666946
2013-10-02,11562708,16.2632956498302
2013-10-03,10101194,16.1281641926461
2013-10-04,19907689,16.806616596978
2013-10-05,26364686,17.087536021147
2013-10-06,38730653,17.4721419116638
2013-10-07,42797733,17.5719956918595
2013-10-08,109806912,18.5142340358781
2013-10-09,72422299,18.0980248071721
2013-10-10,72094613,18.0934898837911
2013-10-11,82674757,18.230424877608
2013-10-12,81901136,18.221023419301
2013-10-13,71149981,18.0803006154586
2013-10-14,130315300,18.6854674565371
2013-10-15,85704304,18.2664136040106
2013-10-16,100948091,18.4301169921927
2013-10-17,87203217,18.2837517804005
2013-10-18,98151450,18.4020222518838
2013-10-19,53148443,17.7885993678735
2013-10-20,47766681,17.6818389042
2013-10-21,106030290,18.4792353659732
2013-10-22,145611496,18.796452646654
2013-10-23,106093112,18.4798276815899
2013-10-24,69530830,18.0572808092972
2013-10-25,69936453,18.063097573415
2013-10-26,55752506,17.8364329179669
2013-10-27,68007543,18.0351291834591
2013-10-28,129993375,18.6829940455828
2013-10-29,102050144,18.4409748582921
2013-10-30,109663260,18.5129249557493
2013-10-31,90926701,18.3255642563885
2013-11-01,150904945,18.8321606932475
2013-11-02,62132300,17.9447765405081
2013-11-03,68707870,18.0453743066723
2013-11-04,300027403,19.5193843717823
2013-11-05,180904814,19.013481561399
2013-11-06,181474910,19.016627965199
2013-11-07,167963464,18.9392570375257
2013-11-08,231749471,19.2611674797755
2013-11-09,126467028,18.6554921839359
2013-11-10,164813471,18.9203249136038
2013-11-11,147986439,18.8126311991519
2013-11-12,148469647,18.8158910980087
2013-11-13,174554976,18.9777502986999
2013-11-14,167996058,18.9394510728065
2013-11-15,124270704,18.6379728408502
2013-11-16,118085705,18.5869212323512
2013-11-17,111786622,18.5321024514181
2013-11-18,195766477,19.0924330629837
2013-11-19,131365419,18.6934934558626
2013-11-20,166163002,18.9284798042924
2013-11-21,221166938,19.2144283498951
2013-11-22,128528687,18.6716626825202
2013-11-23,89109018,18.3053710994406
2013-11-24,102394991,18.4443483533576
2013-11-25,147143602,18.8069195522558
2013-11-26,258037702,19.3686162639926
2013-11-27,134774128,18.7191108092384
2013-11-28,139760425,18.7554402647128
