actual,pre,timestamp
144097253.12537065,66081648.0,2014-08-01
10497912.75005655,-10801409.0,2014-08-02
-11724323.888375368,-17012920.0,2014-08-03
37690497.57326745,27001342.0,2014-08-04
99438256.57266341,53088108.0,2014-08-05
3778260.1926105204,-8996898.0,2014-08-06
-18780695.240818765,-12258652.0,2014-08-07
5370122.721360214,3721461.25,2014-08-08
-16078080.608517433,-19703586.0,2014-08-09
76237321.86178705,38209092.0,2014-08-10
40851057.43216622,19492622.0,2014-08-11
-34599167.45970153,-29438310.0,2014-08-12
-21287048.776454538,-14529466.0,2014-08-13
-6476935.521389777,-9933772.0,2014-08-14
18264085.1292833,-1772662.625,2014-08-15
40963436.487899825,16986292.0,2014-08-16
-31075561.416601487,-26128328.0,2014-08-17
10041680.026245156,246291.390625,2014-08-18
-24450687.993155055,-20960636.0,2014-08-19
27823435.562559344,6210591.0,2014-08-20
-10178605.935102666,-13819113.0,2014-08-21
22264017.38115702,5559715.5,2014-08-22
-30450752.594639935,-25178216.0,2014-08-23
-48626804.8335546,-37897312.0,2014-08-24
23347263.027605474,6074394.5,2014-08-25
18320776.11802216,19718.296875,2014-08-26
23865734.78355355,3059193.0,2014-08-27
-14635339.604291566,-13649779.0,2014-08-28
45725586.403471634,22170066.0,2014-08-29
30067053.213607922,30067053.213607922,2014-08-30
