actual,pre,timestamp
-17992389.186881356,-69863456.0,2014-08-01
-69863449.17447011,-62585732.0,2014-08-02
-62585740.89894106,45137112.0,2014-08-03
45137129.27651325,47851572.0,2014-08-04
47851560.91421442,37873380.0,2014-08-05
37873392.97680096,19579498.0,2014-08-06
19579496.09276393,-17992390.0,2014-08-07
-17992389.186881356,-69863456.0,2014-08-08
-69863449.17447011,-62585732.0,2014-08-09
-62585740.89894106,45137112.0,2014-08-10
45137129.27651325,47851572.0,2014-08-11
47851560.91421442,37873380.0,2014-08-12
37873392.97680096,19579498.0,2014-08-13
19579496.09276393,-17992390.0,2014-08-14
-17992389.186881356,-69863456.0,2014-08-15
-69863449.17447011,-62585732.0,2014-08-16
-62585740.89894106,45137112.0,2014-08-17
45137129.27651325,47851572.0,2014-08-18
47851560.91421442,37873380.0,2014-08-19
37873392.97680096,19579498.0,2014-08-20
19579496.09276393,-17992390.0,2014-08-21
-17992389.186881356,-69863456.0,2014-08-22
-69863449.17447011,-62585732.0,2014-08-23
-62585740.89894106,45137112.0,2014-08-24
45137129.27651325,47851572.0,2014-08-25
47851560.91421442,37873380.0,2014-08-26
37873392.97680096,19579498.0,2014-08-27
19579496.09276393,-17992386.0,2014-08-28
-17992389.186881356,-69863464.0,2014-08-29
-69863449.17447011,-69863449.17447011,2014-08-30
