actual,purchase_pre,timestamp
374884735,214654889.72262082,2014-08-01
189092130,165930326.6792148,2014-08-02
173825397,171905728.0231044,2014-08-03
330640884,278132063.78714883,2014-08-04
394780870,281341102.8672757,2014-08-05
288821016,271352874.7739564,2014-08-06
247646474,254097468.95688045,2014-08-07
233903717,211277761.31062508,2014-08-08
160262764,162553255.6424809,2014-08-09
259534870,168528628.29873958,2014-08-10
331550471,274754978.4065995,2014-08-11
258493673,277964010.3148186,2014-08-12
261506619,267975785.8074532,2014-08-13
257702660,250720378.19740027,2014-08-14
244551620,207900671.44763336,2014-08-15
215059736,159176165.33124495,2014-08-16
149978271,165151538.21162573,2014-08-17
298499146,271377888.2074246,2014-08-18
266401973,274586920.1716742,2014-08-19
308378692,264598695.63629347,2014-08-20
251763517,247343288.04024816,2014-08-21
246316056,204523581.2834774,2014-08-22
141412027,155799075.17059085,2014-08-23
130195484,161774448.04922065,2014-08-24
309574223,268000798.04589492,2014-08-25
306945089,271209830.0097068,2014-08-26
302194801,261221605.4745449,2014-08-27
245082751,243966197.87839013,2014-08-28
267554713,201146491.12167406,2014-08-29
199708772,152421985.00876012,2014-08-30
275090213,158397357.88740358,2014-08-31
