actual,pre,timestamp
147862711.61588898,69003296.0,2014-08-01
14399094.456156395,-10649012.0,2014-08-02
-7687543.979875899,-17826282.0,2014-08-03
41997131.94051343,29286000.0,2014-08-04
103880989.67390124,55052172.0,2014-08-05
8351664.029115052,-8462103.0,2014-08-06
-14074918.85565175,-13378400.0,2014-08-07
10207927.724560054,5237454.5,2014-08-08
-11109036.898344057,-18240342.0,2014-08-09
81332968.64884938,39704680.0,2014-08-10
46207563.55246448,19583328.0,2014-08-11
-29115557.73092195,-28630278.0,2014-08-12
-15677278.963310946,-12207443.0,2014-08-13
-743798.495672055,-7515999.0,2014-08-14
24120245.43494545,744437.625,2014-08-15
46941830.16344702,18411448.0,2014-08-16
-24975059.364351112,-24870840.0,2014-08-17
16394090.314749619,3417045.75,2014-08-18
-17980125.20315114,-18115690.0,2014-08-19
34411207.329945564,9298154.0,2014-08-20
-3471923.3709383425,-11435368.0,2014-08-21
29084868.424476393,8073763.0,2014-08-22
-23516522.981224794,-22167088.0,2014-08-23
-41579321.64322565,-35020428.0,2014-08-24
30642256.05119515,10474855.0,2014-08-25
25725188.884111557,3148718.0,2014-08-26
31378623.76802549,6365570.0,2014-08-27
-7012272.572041208,-10797983.0,2014-08-28
53458487.538870685,26383322.0,2014-08-29
37906323.73115669,37906323.73115669,2014-08-30
