actual,pre,timestamp
18544.551397465166,37935.63671875,2014-08-01
37935.63744230568,57451.7109375,2014-08-02
57451.70978683047,-57288.4765625,2014-08-03
-57288.47429029457,-38272.9296875,2014-08-04
-38272.931365901604,-18313.869140625,2014-08-05
-18313.86943897046,-56.619930267333984,2014-08-06
-56.623531438411774,18544.55078125,2014-08-07
18544.551397465166,37935.63671875,2014-08-08
37935.63744230568,57451.7109375,2014-08-09
57451.70978683047,-57288.4765625,2014-08-10
-57288.47429029457,-38272.9296875,2014-08-11
-38272.931365901604,-18313.869140625,2014-08-12
-18313.86943897046,-56.619930267333984,2014-08-13
-56.623531438411774,18544.55078125,2014-08-14
18544.551397465166,37935.63671875,2014-08-15
37935.63744230568,57451.7109375,2014-08-16
57451.70978683047,-57288.4765625,2014-08-17
-57288.47429029457,-38272.9296875,2014-08-18
-38272.931365901604,-18313.869140625,2014-08-19
-18313.86943897046,-56.619930267333984,2014-08-20
-56.623531438411774,18544.55078125,2014-08-21
18544.551397465166,37935.63671875,2014-08-22
37935.63744230568,57451.7109375,2014-08-23
57451.70978683047,-57288.4765625,2014-08-24
-57288.47429029457,-38272.9296875,2014-08-25
-38272.931365901604,-18313.869140625,2014-08-26
-18313.86943897046,-56.619930267333984,2014-08-27
-56.623531438411774,18544.55078125,2014-08-28
18544.551397465166,37935.64453125,2014-08-29
37935.63744230568,37935.63744230568,2014-08-30
