actual,pre,timestamp
-3784003.0672864616,-3237347.75,2014-08-01
-3939117.343598685,-3371063.25,2014-08-02
-4094231.619910908,-3503564.5,2014-08-03
-4249345.896223132,-3634159.0,2014-08-04
-4404460.172535353,-3763053.25,2014-08-05
-4555089.9666760815,-3890282.25,2014-08-06
-4705719.760816807,-4016312.5,2014-08-07
-4856349.554957533,-4140444.75,2014-08-08
-5006979.34909826,-4262888.0,2014-08-09
-5153098.4986362215,-4383700.5,2014-08-10
-5299217.648174182,-4503343.5,2014-08-11
-5445336.797712142,-4621117.5,2014-08-12
-5591455.947250104,-4737231.0,2014-08-13
-5733080.40179651,-4851759.5,2014-08-14
-5874704.856342919,-4965156.5,2014-08-15
-6016329.310889328,-5076729.5,2014-08-16
-6157953.765435735,-5186684.5,2014-08-17
-6295121.810459351,-5295104.5,2014-08-18
-6432289.855482966,-5402435.5,2014-08-19
-6569457.900506582,-5507998.5,2014-08-20
-6706625.945530198,-5611990.5,2014-08-21
-6839395.595873856,-5714506.0,2014-08-22
-6972165.246217514,-5815978.0,2014-08-23
-7104934.896561174,-5915743.5,2014-08-24
-7237704.546904832,-6013993.5,2014-08-25
-7366139.832745664,-6110824.0,2014-08-26
-7494575.118586496,-6206657.5,2014-08-27
-7623010.404427329,-6300851.0,2014-08-28
-7751445.690268162,-6393585.0,2014-08-29
-7877206.158598999,-7877206.158598999,2014-08-30
