observed,resid,seasonal,timestamp,trend
-15077463.58,-15053270.254830163,-57288.47429029457,2013-07-01,33095.14912045709
-22157571.47,-22065195.71747881,-38272.931365901604,2013-07-02,-54102.82115528429
-14860741.78,-14701127.119130002,-18313.86943897046,2013-07-03,-141300.79143102566
-6431148.152000001,-6202592.766761796,-56.62353143841028,2013-07-04,-228498.76170676705
23553582.87,23850735.050585043,18544.55139746517,2013-07-05,-315696.73198250844
99605445.68,99965062.27650973,37935.637442305684,2013-07-06,-397552.23395202664
63616977.22,64038933.24613471,57451.70978683047,2013-07-07,-479407.73592154484
3268420.86,3886972.5721813575,-57288.47429029457,2013-07-08,-561263.2378910631
-30827055.96,-30145664.28877352,-38272.931365901604,2013-07-09,-643118.7398605812
-17880311.92,-17142655.364439584,-18313.86943897046,2013-07-10,-719342.6861214462
12863287.06,13658910.31591375,-56.62353143841028,2013-07-11,-795566.6323823112
39614890.44,40468136.467245705,18544.55139746517,2013-07-12,-871790.5786431761
71537774.53,72447853.41746174,37935.637442305684,2013-07-13,-948014.5249040411
70774185.07,71735084.49159682,57451.70978683047,2013-07-14,-1018351.131383658
-12371900.29,-11225924.07784643,-57288.47429029457,2013-07-15,-1088687.737863275
-13528507.11,-12331209.834291207,-38272.931365901604,2013-07-16,-1159024.344342892
-26093971.36,-24846296.53973852,-18313.86943897046,2013-07-17,-1229360.950822509
-13525355.3,-12231686.33043128,-56.62353143841028,2013-07-18,-1293612.3460372821
32548045.16,33887364.34985459,18544.55139746517,2013-07-19,-1357863.7412520554
70233956.32,71618135.81902452,37935.637442305684,2013-07-20,-1422115.1364668286
62715459.22,64144374.04189477,57451.70978683047,2013-07-21,-1486366.531681602
-26652763.78,-25051117.359737843,-57288.47429029457,2013-07-22,-1544357.945971862
-12631799.25,-10991176.958371976,-38272.931365901604,2013-07-23,-1602349.3602621218
-13319115.14,-11640460.496008648,-18313.86943897046,2013-07-24,-1660340.7745523818
13033826.92,14752215.73237408,-56.62353143841028,2013-07-25,-1718332.1888426417
36934433.02,38685822.68277256,18544.55139746517,2013-07-26,-1769934.2141700243
60318448.84,62102049.442055106,37935.637442305684,2013-07-27,-1821536.2394974064
71141993.39,72957679.94503796,57451.70978683047,2013-07-28,-1873138.264824789
-20283860.96,-18301832.195557535,-57288.47429029457,2013-07-29,-1924740.2901521714
-29996641.36,-27988495.238986894,-38272.931365901604,2013-07-30,-1969873.189647207
-13897595.2,-11864275.241418786,-18313.86943897046,2013-07-31,-2015006.089142243
2229110.92,4289306.532168717,-56.62353143841028,2013-08-01,-2060138.9886372786
23528054.43,25614781.76673485,18544.55139746517,2013-08-02,-2105271.888132314
57955050.94,60061014.85524651,37935.637442305684,2013-08-03,-2143899.5526888166
73851491.18,75976566.6874585,57451.70978683047,2013-08-04,-2182527.2172453185
-36959746.48,-34681303.12390788,-57288.47429029457,2013-08-05,-2221154.8818018204
-33415513.6,-31117458.122275777,-38272.931365901604,2013-08-06,-2259782.5463583227
-31378486.85,-29068258.68797133,-18313.86943897046,2013-08-07,-2291914.2925897003
-13482219.15,-11158116.487647485,-56.62353143841028,2013-08-08,-2324046.038821078
12038323.94,14375957.17365499,18544.55139746517,2013-08-09,-2356177.7850524555
50116466.74,52466840.63384153,37935.637442305684,2013-08-10,-2388309.531283833
76752345.39,79108864.71667805,57451.70978683047,2013-08-11,-2413971.036464889
7039785.147000001,9536706.16293624,-57288.47429029457,2013-08-12,-2439632.541645945
-42464878.56,-39961311.5818071,-38272.931365901604,2013-08-13,-2465294.0468270015
-51657111.69,-49147842.268552974,-18313.86943897046,2013-08-14,-2490955.5520080575
-22481275.88,-19971002.673483424,-56.62353143841028,2013-08-15,-2510216.5829851367
13354807.33,15865740.392564751,18544.55139746517,2013-08-16,-2529477.6139622163
40214734.24,42725537.24749699,37935.637442305684,2013-08-17,-2548738.6449392955
73971482.89,76482030.85612954,57451.70978683047,2013-08-18,-2567999.6759163747
14724318.69,17362554.9115045,-57288.47429029457,2013-08-19,-2580947.747214202
-44504223.97,-41872055.22012207,-38272.931365901604,2013-08-20,-2593895.8185120295
-51022530.06,-48397372.30075118,-18313.86943897046,2013-08-21,-2606843.889809857
17212246.8,19832095.38463912,-56.62353143841028,2013-08-22,-2619791.9611076843
2519471.8880000003,5127489.376437578,18544.55139746517,2013-08-23,-2626562.0398350433
59866726.68,62462123.161120094,37935.637442305684,2013-08-24,-2633332.1185624017
50515540.21,53098190.697502926,57451.70978683047,2013-08-25,-2640102.19728976
-27029575.16,-24325414.409692585,-57288.47429029457,2013-08-26,-2646872.276017119
-59991860.14,-57305948.15745889,-38272.931365901604,2013-08-27,-2647639.051175214
-49698741.55,-47032021.85422772,-18313.86943897046,2013-08-28,-2648405.8263333086
-31507838.01,-28858608.78497716,-56.62353143841028,2013-08-29,-2649172.601491403
14014884.93,16646279.755252032,18544.55139746517,2013-08-30,-2649939.3766494975
56026483.67,58633448.11548014,37935.637442305684,2013-08-31,-2644900.0829224437
56307354.14,58889763.21940856,57451.70978683047,2013-09-01,-2639860.78919539
32163500.72,34855610.68975863,-57288.47429029457,2013-09-02,-2634821.495468336
-31913710.17,-29245655.036892816,-38272.931365901604,2013-09-03,-2629782.2017412824
-70108928.08,-67471437.18978912,-18313.86943897046,2013-09-04,-2619177.0207719076
-47497448.05,-44888819.586666025,-56.62353143841028,2013-09-05,-2608571.8398025334
-10751095.62,-8171673.512564305,18544.55139746517,2013-09-06,-2597966.6588331587
35240747.52,37790173.36042148,37935.637442305684,2013-09-07,-2587361.477863784
31645572.0,34159586.56516636,57451.70978683047,2013-09-08,-2571466.274953192
-66599927.42,-63987067.873667106,-57288.47429029457,2013-09-09,-2555571.0720426003
-24980882.31,-22402933.50950209,-38272.931365901604,2013-09-10,-2539675.8691320084
-11780591.62,-9238497.084339613,-18313.86943897046,2013-09-11,-2523780.6662214166
-24901341.13,-22398392.185888737,-56.62353143841028,2013-09-12,-2502892.320579824
14708934.76,17172394.183540765,18544.55139746517,2013-09-13,-2482003.974938231
24855620.36,27278800.35185433,37935.637442305684,2013-09-14,-2461115.629296638
22618280.69,25001056.263868213,57451.70978683047,2013-09-15,-2440227.2836550456
38442711.29,40914677.22825554,-57288.47429029457,2013-09-16,-2414677.463965246
-50772341.57,-48344940.99435865,-38272.931365901604,2013-09-17,-2389127.6442754464
-75121606.85,-72739715.15597537,-18313.86943897046,2013-09-18,-2363577.8245856464
-76025496.19,-73687411.5615727,-56.62353143841028,2013-09-19,-2338028.004895847
-35920140.88,-33630476.000048116,18544.55139746517,2013-09-20,-2308209.4313493497
18937253.15,21177708.370360546,37935.637442305684,2013-09-21,-2278390.8578028525
45713129.91,47904250.48446952,57451.70978683047,2013-09-22,-2248572.2842563554
-75919993.22,-73643951.03499985,-57288.47429029457,2013-09-23,-2218753.710709858
-60100695.67,-57877363.073512875,-38272.931365901604,2013-09-24,-2185059.6651212242
-78158188.55,-75988509.06102844,-18313.86943897046,2013-09-25,-2151365.6195325903
-39478736.48,-37361008.2825246,-56.62353143841028,2013-09-26,-2117671.5739439563
-29518393.01,-27452960.033042144,18544.55139746517,2013-09-27,-2083977.528355322
19118861.74,21127709.162418317,37935.637442305684,2013-09-28,-2046783.059860626
5215721.228,7167858.109579099,57451.70978683047,2013-09-29,-2009588.59136593
