resid,timestamp
-15077463.58,2013/7/1
-22157571.47,2013/7/2
-14860741.78,2013/7/3
-6431148.152,2013/7/4
23553582.87,2013/7/5
99605445.68,2013/7/6
63616977.22,2013/7/7
3268420.86,2013/7/8
-30827055.96,2013/7/9
-17880311.92,2013/7/10
12863287.06,2013/7/11
39614890.44,2013/7/12
71537774.53,2013/7/13
70774185.07,2013/7/14
-12371900.29,2013/7/15
-13528507.11,2013/7/16
-26093971.36,2013/7/17
-13525355.3,2013/7/18
32548045.16,2013/7/19
70233956.32,2013/7/20
62715459.22,2013/7/21
-26652763.78,2013/7/22
-12631799.25,2013/7/23
-13319115.14,2013/7/24
13033826.92,2013/7/25
36934433.02,2013/7/26
60318448.84,2013/7/27
71141993.39,2013/7/28
-20283860.96,2013/7/29
-29996641.36,2013/7/30
-13897595.2,2013/7/31
2229110.92,2013/8/1
23528054.43,2013/8/2
57955050.94,2013/8/3
73851491.18,2013/8/4
-36959746.48,2013/8/5
-33415513.6,2013/8/6
-31378486.85,2013/8/7
-13482219.15,2013/8/8
12038323.94,2013/8/9
50116466.74,2013/8/10
76752345.39,2013/8/11
7039785.147,2013/8/12
-42464878.56,2013/8/13
-51657111.69,2013/8/14
-22481275.88,2013/8/15
13354807.33,2013/8/16
40214734.24,2013/8/17
73971482.89,2013/8/18
14724318.69,2013/8/19
-44504223.97,2013/8/20
-51022530.06,2013/8/21
17212246.8,2013/8/22
2519471.888,2013/8/23
59866726.68,2013/8/24
50515540.21,2013/8/25
-27029575.16,2013/8/26
-59991860.14,2013/8/27
-49698741.55,2013/8/28
-31507838.01,2013/8/29
14014884.93,2013/8/30
56026483.67,2013/8/31
56307354.14,2013/9/1
32163500.72,2013/9/2
-31913710.17,2013/9/3
-70108928.08,2013/9/4
-47497448.05,2013/9/5
-10751095.62,2013/9/6
35240747.52,2013/9/7
31645572,2013/9/8
-66599927.42,2013/9/9
-24980882.31,2013/9/10
-11780591.62,2013/9/11
-24901341.13,2013/9/12
14708934.76,2013/9/13
24855620.36,2013/9/14
22618280.69,2013/9/15
38442711.29,2013/9/16
-50772341.57,2013/9/17
-75121606.85,2013/9/18
-76025496.19,2013/9/19
-35920140.88,2013/9/20
18937253.15,2013/9/21
45713129.91,2013/9/22
-75919993.22,2013/9/23
-60100695.67,2013/9/24
-78158188.55,2013/9/25
-39478736.48,2013/9/26
-29518393.01,2013/9/27
19118861.74,2013/9/28
5215721.228,2013/9/29
-109606429.2,2013/9/30
-122644894.1,2013/10/1
-121309450,2013/10/2
-105545000,2013/10/3
-59234552.58,2013/10/4
-1974428.462,2013/10/5
2041198.395,2013/10/6
-102687223.6,2013/10/7
-39465108.15,2013/10/8
-67944185.08,2013/10/9
-51056023.04,2013/10/10
-3982042.605,2013/10/11
46037347.54,2013/10/12
26930435.42,2013/10/13
-22711961.89,2013/10/14
-71122235.67,2013/10/15
-46985126.87,2013/10/16
-43520950.12,2013/10/17
3905045.598,2013/10/18
9678976.026,2013/10/19
-4074616.81,2013/10/20
-54628000.54,2013/10/21
-18869095.29,2013/10/22
-49517180.47,2013/10/23
-68893434.7,2013/10/24
-32023795.53,2013/10/25
4533783.037,2013/10/26
8381577.339,2013/10/27
-38484995.26,2013/10/28
-70272192.32,2013/10/29
-53845226.48,2013/10/30
-55452206.69,2013/10/31
40933604.49,2013/11/1
2867701.376,2013/11/2
912304.6337,2013/11/3
123255709,2013/11/4
165429.8876,2013/11/5
9460435.359,2013/11/6
12829533.87,2013/11/7
112774073.8,2013/11/8
57949338.39,2013/11/9
87604720.74,2013/11/10
-38400778.73,2013/11/11
-42087599.65,2013/11/12
-7479700.004,2013/11/13
2799681.591,2013/11/14
-4848310.938,2013/11/15
